scope,mode,param,head,class,support,predicted,precision,recall,f1,true_positive
CC,baseline,none,task,0,124893,94463,0.8462360924383092,0.6400518844130576,0.7288426120097011,79938
CC,baseline,none,task,1,19302,44948,0.2803461778054641,0.652833903222464,0.3922490272373541,12601
CC,baseline,none,task,2,26642,37702,0.35772638056336536,0.506230763456197,0.4192154668655974,13487
CC,baseline,none,task,3,44855,38579,0.5406827548666373,0.46503176903355253,0.5000119855214901,20859
CC,baseline,none,social,0,13381,18916,0.4269930217805033,0.6036170689784022,0.5001702944545934,8077
CC,baseline,none,social,1,13735,11912,0.4228509066487576,0.3667273389151802,0.39279447888641955,5037
CC,baseline,none,social,2,60794,38753,0.6454984130260883,0.41147152679540744,0.5025766723256352,25015
CC,baseline,none,social,3,2700,7703,0.025834090614046474,0.0737037037037037,0.038258194751513985,199
CC,baseline,none,social,4,94006,107332,0.6387097976372377,0.72925132438355,0.6809842155976517,68554
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,0,124893,94510,0.8466723098084858,0.6407004395762773,0.7294248483384457,80019
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,1,19302,44865,0.28151120026746906,0.654336338203295,0.3936602926738042,12630
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,2,26642,37731,0.35721290185788873,0.5058929509796561,0.4187469901977537,13478
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,task,3,44855,38586,0.5406365002850775,0.4650763571508193,0.5000179767740079,20861
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,0,13381,18923,0.42709929715161443,0.6039907331290636,0.50037147102526,8082
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,1,13735,11905,0.424947501049979,0.3683290862759374,0.3946177847113885,5059
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,2,60794,38748,0.6472075978115,0.41250781327104646,0.5038677141307186,25078
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,3,2700,7617,0.02651962714979651,0.07481481481481482,0.03915867015605312,202
CC,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,social,4,94006,107423,0.6390344712026289,0.7302406229389613,0.681599968227018,68647
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,0,124893,94616,0.8468969307516699,0.6415892003555043,0.7300839601109749,80130
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,1,19302,44796,0.2823019912492187,0.6551652678478914,0.39458329433055633,12646
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,2,26642,37737,0.35699711158809655,0.5056677426619623,0.4185215675919166,13472
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,task,3,44855,38543,0.5400980722829049,0.4640954185709508,0.499220604810667,20817
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,0,13381,19012,0.42515253524090046,0.6040654659591959,0.499058438551539,8083
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,1,13735,11935,0.42195224130708003,0.366654532216964,0.39236462797039345,5036
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,2,60794,38636,0.6473237395175484,0.4113892818370234,0.5030674846625767,25010
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,3,2700,7530,0.02390438247011952,0.06666666666666667,0.03519061583577712,180
CC,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,social,4,94006,107503,0.6387263611248059,0.7304321000787184,0.6815080219742046,68665
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,0,124893,94857,0.8469274803124703,0.6432466191059547,0.7311672354948806,80337
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,1,19302,44520,0.28517520215633424,0.6577556729872552,0.39785653849769675,12696
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,2,26642,37656,0.3568090078606331,0.5043164927557992,0.41792901800989146,13436
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,task,3,44855,38659,0.5385291911327246,0.4641400066882176,0.49857508920660015,20819
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,0,13381,18870,0.42776894541600424,0.6032434048277409,0.5005736256240116,8072
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,1,13735,11811,0.42629751926170517,0.36658172551874774,0.3941908713692946,5035
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,2,60794,38837,0.6471406133326467,0.41341250781327105,0.5045216850177153,25133
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,3,2700,7539,0.023345271256134767,0.06518518518518518,0.03437835726145131,176
CC,hmm_uniform_start,mix=0.25;strength=1;alpha=1,social,4,94006,107559,0.6392491562770201,0.7314107610152544,0.6822315382134796,68757
